"","grant_id","approved","title","word"
"219...27218","7066","TRUE","RootMeta--Infrastructure of WEB 3.0 Multichain Social Network","total"
"219...27219","7066","TRUE","RootMeta--Infrastructure of WEB 3.0 Multichain Social Network","island"
"219...27225","7066","TRUE","RootMeta--Infrastructure of WEB 3.0 Multichain Social Network","collected"
"219...27226","7066","TRUE","RootMeta--Infrastructure of WEB 3.0 Multichain Social Network","displayed"
"219...27230","7066","TRUE","RootMeta--Infrastructure of WEB 3.0 Multichain Social Network","crypto"
"219...27232","7066","TRUE","RootMeta--Infrastructure of WEB 3.0 Multichain Social Network","proof"
"219...27245","7066","TRUE","RootMeta--Infrastructure of WEB 3.0 Multichain Social Network","info"
"219...27250","7066","TRUE","RootMeta--Infrastructure of WEB 3.0 Multichain Social Network","credible"
"219...27251","7066","TRUE","RootMeta--Infrastructure of WEB 3.0 Multichain Social Network","crypto"
"219...27263","7066","TRUE","RootMeta--Infrastructure of WEB 3.0 Multichain Social Network","connect"
"219...27282","7066","TRUE","RootMeta--Infrastructure of WEB 3.0 Multichain Social Network","easily"
"219...27285","7066","TRUE","RootMeta--Infrastructure of WEB 3.0 Multichain Social Network","crypto"
"219...27288","7066","TRUE","RootMeta--Infrastructure of WEB 3.0 Multichain Social Network","island"
"219...27289","7066","TRUE","RootMeta--Infrastructure of WEB 3.0 Multichain Social Network","land"
"219...27290","7066","TRUE","RootMeta--Infrastructure of WEB 3.0 Multichain Social Network","island"
"219...27304","7066","TRUE","RootMeta--Infrastructure of WEB 3.0 Multichain Social Network","interacting"
