"","title","approved","word","n","tf","idf","tf_idf"
"62","ColtonArt - Regen Art & Fundraising","TRUE","directly",1,0.00980392156862745,6.23490080168995,0.0611264784479407
"63","D3V Library","TRUE","top",1,0.0105263157894737,5.82943569358179,0.0613624809850715
"64","EVM from Scratch: A Youtube Tutorial Series","TRUE","software",1,0.0103092783505155,6.01175725037574,0.061976878869853
"65","Nthpower","TRUE","connect",1,0.00900900900900901,6.9280479822499,0.062414846686936
"66","Powering Crypto Education and Adoption in Africa","TRUE","opportunities",1,0.0113636363636364,5.54175362113001,0.0629744729673865
"67","InformHub.ph","TRUE","receive",1,0.00909090909090909,6.9280479822499,0.06298225438409
"68","Nifty Sparks | ENS community hub","TRUE","benefits",1,0.0108695652173913,5.82943569358179,0.063363431451976
"69","ENS University","TRUE","university",1,0.0108695652173913,5.82943569358179,0.063363431451976
"70","Rings Network","TRUE","applications",1,0.01,6.52258287414173,0.0652258287414173
"71","Parrot DAO: Web3 Education & Services","TRUE","applications",1,0.01,6.52258287414173,0.0652258287414173
"72","Avault","TRUE","applications",1,0.01,6.52258287414173,0.0652258287414173
"73","Crypto Decrypted","TRUE","history",1,0.0114942528735632,5.67528501375453,0.0652331610776383
"74","Nifty Sparks | ENS community hub","TRUE","related",1,0.0114942528735632,5.82943569358179,0.0670050079722045
"75","D3V Library","TRUE","related",1,0.0114942528735632,5.82943569358179,0.0670050079722045
"76","Trooper - Connecting gaming to the real world economy.","TRUE","opportunities",1,0.0113636363636364,6.01175725037574,0.0683154232997244
"77","DAOLink","TRUE","opportunity",1,0.0106382978723404,6.52258287414173,0.0693891795121461
"78","Atticc - Decentralised Social Media Connecting the Souls of Web3","TRUE","version",1,0.0126582278481013,5.54175362113001,0.0701487800143039
"79","ENS onboarding education and awareness.","TRUE","benefits",1,0.0108695652173913,6.52258287414173,0.0708976399363232
"80","D3V Library","TRUE","implemented",1,0.0131578947368421,5.82943569358179,0.0767031012313393
"81","Cashmere Labs","TRUE","addition",1,0.0138888888888889,5.67528501375453,0.0788234029688129
"82","web3-scaffold: a starter kit for your next web3 project","TRUE","version",1,0.0126582278481013,6.23490080168995,0.0789227949581007
"83","Powering Crypto Education and Adoption in Africa","TRUE","efforts",1,0.0142857142857143,5.54175362113001,0.0791679088732858
"84","Streamio","TRUE","application",1,0.0104166666666667,7.62119516280984,0.0793874496126026
"85","BasicTier Platform","TRUE","types",1,0.0153846153846154,5.22329989001147,0.0803584598463304
"86","ENS Fairy","TRUE","addition",1,0.0138888888888889,5.82943569358179,0.0809643846330804
"87","Powering Crypto Education and Adoption in Africa","TRUE","adoption",1,0.0149253731343284,5.54175362113001,0.0827127406138807
"88","Impossible Daily Market Update","TRUE","offers",1,0.015625,5.42397058547363,0.0847495403980254
"89","Surfnetwork","TRUE","total",1,0.0136986301369863,6.23490080168995,0.08540960002315
"90","StarkDeFi - Your Access Portal To Starknet","TRUE","adoption",1,0.0149253731343284,5.82943569358179,0.0870065028892804
"91","Evolving Space - Bringing Technical Web3 Education to Latin-America","TRUE","adoption",1,0.0149253731343284,5.82943569358179,0.0870065028892804
"92","ClubS - SocialFi 2.0","TRUE","published",1,0.0158730158730159,5.54175362113001,0.0879643431925398
"93","Cashmere Labs","TRUE","offers",1,0.015625,5.67528501375453,0.0886763283399146
"94","PoolAnalyzer - Make sure you choose the best UniswapV3 pool","TRUE","total",1,0.0136986301369863,6.52258287414173,0.0893504503307087
"95","Test, Document and Audit Smart Contracts","TRUE","published",1,0.0158730158730159,5.67528501375453,0.0900838891072148
"96","Nifty Sparks | ENS community hub","TRUE","offers",1,0.015625,5.82943569358179,0.0910849327122155
"97","Vega EntertainmentA World all entertainments with Real Values","TRUE","professional",1,0.0172413793103448,5.3186100698158,0.0917001736175138
"98","GUMMYS WEB3 TV","TRUE","actions",1,0.0172413793103448,5.3186100698158,0.0917001736175138
"99","Learnify","TRUE","integration",1,0.0181818181818182,5.05624580534831,0.0919317419154238
"100","AllScan - blockchain explorer bot","TRUE","received",1,0.0166666666666667,5.67528501375453,0.0945880835625755
"101","Book Swap","TRUE","review",1,0.0158730158730159,6.01175725037574,0.0954247182599324
"102","XCHG - dApps Transport Tools","TRUE","called",1,0.0172413793103448,5.54175362113001,0.0955474762263795
"103","Lendrates IO","TRUE","expand",1,0.0153846153846154,6.23490080168995,0.0959215507952301
"104","C# library for accessing NFTs on mobile devices","TRUE","expand",1,0.0153846153846154,6.23490080168995,0.0959215507952301
"105","Community Boosters Team","TRUE","received",1,0.0166666666666667,5.82943569358179,0.0971572615596965
"106","UNDR1ROOF WEB3 FOR THE HOMELESS","TRUE","called",1,0.0172413793103448,5.67528501375453,0.0978497416164574
"107","Sixdegree Lab","TRUE","professional",1,0.0172413793103448,5.67528501375453,0.0978497416164574
"108","RightsDao","TRUE","professional",1,0.0172413793103448,5.67528501375453,0.0978497416164574
"109","ENSgrows:  a weekly publication dedicated to documenting ENS builders.","TRUE","month",1,0.0192307692307692,5.13628851302184,0.098774779096574
"110","DeSci.Global - Organizing/sponsoring global DeSci meetups","TRUE","supporting",1,0.0166666666666667,6.01175725037574,0.100195954172929
"111","C# library for accessing NFTs on mobile devices","TRUE","allowing",1,0.0161290322580645,6.23490080168995,0.10056291615629
"112","RightsDao","TRUE","eventually",1,0.0178571428571429,5.67528501375453,0.101344375245617
"113","Cashmere Labs","TRUE","hand",1,0.0178571428571429,5.67528501375453,0.101344375245617
"114","MyLuksoWallet","TRUE","additional",1,0.0166666666666667,6.23490080168995,0.103915013361499
"115","FacHub Platform","TRUE","brand",1,0.0185185185185185,5.67528501375453,0.105097870625084
"116","ENS onboarding education and awareness.","TRUE","government",1,0.0161290322580645,6.52258287414173,0.105202949582931
"117","Impossible Daily Market Update","TRUE","supports",1,0.0196078431372549,5.42397058547363,0.106352364421051
"118","Learnify","TRUE","incentives",1,0.0212765957446809,5.05624580534831,0.107579697986134
"119","DefiLlama APIs","TRUE","offers",1,0.015625,6.9280479822499,0.108250749722655
"120","Parrot DAO: Web3 Education & Services","TRUE","additional",1,0.0166666666666667,6.52258287414173,0.108709714569029
"121","ENS Turkish Community","TRUE","reference",1,0.0169491525423729,6.52258287414173,0.110552252104097
"122","SENSE MUSIC RELEASE CLUB","TRUE","international",1,0.02,5.54175362113001,0.1108350724226
"123","Lendrates IO","TRUE","leading",1,0.0178571428571429,6.23490080168995,0.111337514315892
"124","Societify is a guild management platform for sharing player accounts and assets across the Web3 gaming ecosystem.","TRUE","deployed",1,0.0208333333333333,5.54175362113001,0.115453200440209
"125","CryptoDo - Multichain constructor of smart contracts","TRUE","verification",1,0.0208333333333333,5.54175362113001,0.115453200440209
"126","Bu Zhi DAO - Taiwan Web3 Education","TRUE","hosting",1,0.0208333333333333,5.54175362113001,0.115453200440209
"127","BlockModel - Tokenomics Made Easy","TRUE","verification",1,0.0208333333333333,5.54175362113001,0.115453200440209
"128","Optimism DAppNode Package","TRUE","supporting",1,0.0166666666666667,6.9280479822499,0.115467466370832
"129","Sixdegree Lab","TRUE","found",1,0.0204081632653061,5.67528501375453,0.115822143137848
"130","BasicTier Platform","TRUE","overview",1,0.0222222222222222,5.22329989001147,0.116073330889144
"131","Impossible Daily Market Update","TRUE","dedicated",1,0.0217391304347826,5.42397058547363,0.117912404032035
